hhsize97,yycali,pobre,mpcalif,vilcount,vilcountpoor,numunder15,rightagetotal,rightageshare,rightagepoortotal,rightagepoorshare,rightageattend97total,rightageattend97share,rightageattend97poortotal,rightageattend97poorshare,fatherathome,motherathome,fatherlit,motherlit,fatherschool,motherschool,minprimtotal,minprimtotal15to20,minprimtotal21to30,minprimshare,minprimshare15to20,minprimshare21to30,minprimtotalpoor,minprimtotal15to20poor,minprimtotal21to30poor,minprimsharepoor,minprimshare15to20poor,minprimshare21to30poor,fatherminprim,motherminprim,minsectotal,minsectotal15to20,minsectotal21to30,minsecshare,minsecshare15to20,minsecshare21to30,minsectotalpoor,minsectotal15to20poor,minsectotal21to30poor,minsecsharepoor,minsecshare15to20poor,minsecshare21to30poor,fatherminsec,motherminsec,minhightotal,minhightotal15to20,minhightotal21to30,minhighshare,minhighshare15to20,minhighshare21to30,minhightotalpoor,minhightotal15to20poor,minhightotal21to30poor,minhighsharepoor,minhighshare15to20poor,minhighshare21to30poor,verypoor,poor,notrich,goodatschool,cansec,canfurther,canhigh,canuni,desgirlsec,desgirlfurther,desgirlhigh,desgirluni,desboysec,desboyfurther,desboyhigh,desboyuni,breakfast,whynobreakfast,talkwithteacher,whytalkwithteacher,guardian,schoolwork,problemdiscipline,problemteachers,problemcommunication,problemteachattendance,teacherprepared,teacherfulfilled,teacherpunctual,teacherpatient,helpsibgirl,helpsibboy,helpworkgirl,helpworkboy,earnmongirl,earnmonboy,weekexp1,weekexp2,weekexp3,weekexp4,weekexp5,monthexp1,monthexp2,monthexp3,sixmonthexp1,sixmonthexp2,sixmonthexp3,sixmonthexp4,sixmonthexp5,sixmonthexp6,sixmonthexp7,sixmonthexp8,sixmonthexp9,sixmonthexp10,sixmonthexp11,sixmonthexp12,spendmoreon1,spendmoreon2,spendmoreon3,spendmoreon4,spendmoreon5,spendmoreon6,spendmoreon7,spendmoreon11,spendmoreon12,spendmoreon14,pcexp,lnpcexp,delegate,subdelegate,commissioner,commissary,devcommittee,healthcommittee,educommittee,agricommittee,DICONSA,prodcoop,church,politorga,parentassoc,commassembly,NGO,commwork,watersource,trash,allelectric,partselectric,partsewers,phone,numberpreschools,numberprimschools,numbertelesecondaria,primeactivity,secondactivity,thirdactivity,childlabor,avchildwage,ttprivsec,ttpubsec,tttelesec,ttclosestsec,ttCONALEP,ttCETA,ttCETIS,ttCEBTA,ttCEBTIS,ttprivhigh,ttpubhigh,ttclosesthigh,indloc,indice,grado,female,age97,attend97,attend98,treatment,highschool,highschool03,highschool03fin,moneyreason,otherreason,missing03
7,825.12,No Pobre,1.93,139,42,4,6,.043165468,2,.047619049,3,.021582734,0,0,1,1,1,1,0,1,49,49,49,.35251799,2.0416667,3.5,10,10,10,.23809524,3.3333333,1,0,1,13,13,13,.093525179,.54166669,.9285714,0,0,0,0,0,0,0,0,3,3,3,.021582734,.125,.21428572,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,,1,1,1,1,2,2,2,2,1,1,1,1,12,12,12,12,16,15,50,20,0,0,0,50,0,0,0,0,120,0,0,0,100,0,0,0,70,0,1,2,3,0,0,0,0,0,0,0,137.5761,4.9241772,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,1,99,99,0,0,,,.25,.25,,,,.25,,,.25,.25,,-.05488,4,1,13,1,1,1,0,0,0,1,0,0
9,756,No Pobre,3.55,139,42,4,6,.043165468,2,.047619049,3,.021582734,0,0,1,1,0,0,0,0,49,49,49,.35251799,2.0416667,3.5,10,10,10,.23809524,3.3333333,1,0,0,13,13,13,.093525179,.54166669,.9285714,0,0,0,0,0,0,0,0,3,3,3,.021582734,.125,.21428572,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,,0,,2,2,2,2,1,1,2,2,2,2,12,11,10,9,16,14,0,0,0,0,15,90,0,0,100,0,100,200,0,0,70,90,0,0,0,0,1,0,2,0,3,0,0,0,0,0,224.31889,5.4130688,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,1,99,99,0,0,,,.25,.25,,,,.25,,,.25,.25,,-.05488,4,0,13,0,1,1,0,0,0,1,0,0
7,557,Pobre,2.48,239,136,4,7,.029288704,6,.044117648,6,.025104603,5,.036764707,1,1,1,1,1,1,60,60,60,.25104603,1.7647059,3.3333333,35,35,35,.25735295,1.5217391,3.5,0,0,21,21,21,.087866105,.61764705,1.1666666,13,13,13,.095588237,.56521738,1.3,0,0,5,5,5,.020920502,.14705883,.27777779,1,1,1,.0073529412,.043478262,.1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,,1,2,2,1,2,1,1,1,1,1,1,1,10,10,10,10,15,15,0,50,0,0,50,100,0,0,50,50,100,200,100,100,200,100,100,100,100,100,1,2,3,0,0,0,0,0,0,0,438.72711,6.0838776,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,3,0,0,0,0,1,1,0,1,3,5,0,0,,,.5,.5,,,,,,,,,,.58039,5,1,13,1,1,1,0,0,0,0,1,0
4,860,No Pobre,.48,315,220,2,8,.025396826,5,.022727273,2,.0063492064,1,.0045454544,1,1,1,1,1,1,51,51,51,.16190477,1.3076923,1.1086956,23,23,23,.10454545,.95833331,.76666665,0,0,10,10,10,.031746034,.25641027,.2173913,2,2,2,.0090909088,.083333336,.06666667,0,0,3,3,3,.0095238099,.07692308,.065217391,1,1,1,.0045454544,.041666668,.033333335,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,,1,2,2,1,2,2,2,2,1,1,1,1,7,8,10,10,15,15,30,40,0,0,5,50,0,0,80,0,0,200,200,250,0,400,150,210,220,70,0,2,0,0,0,1,0,0,3,0,145.43324,4.9797173,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,2,1,1,1,0,1,1,3,0,1,99,99,1,,,,,,,,,,,,,,0,.83362,5,0,11,1,1,0,0,1,0,1,0,0
4,816,No Pobre,1.6,93,36,1,1,.010752688,0,0,1,.010752688,0,0,0,1,,1,,1,22,22,22,.23655914,1.6923077,1.375,6,6,6,.16666667,1.5,1.5,,1,7,7,7,.07526882,.53846157,.4375,2,2,2,.055555556,.5,.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,3,0,,1,1,2,2,2,2,1,1,1,1,10,10,12,12,15,15,0,36,0,0,30,30,0,0,0,0,200,200,0,0,0,90,0,0,40,0,1,0,2,0,0,0,0,0,3,0,230.72598,5.4412308,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,5,2,0,1,0,1,1,1,1,1,2,4,1,7.5,2.5,2.5,,2.5,,,,1,,2.5,.33333299,.33333299,1,-.06862,4,0,15,1,1,1,0,0,0,0,1,0
7,603,Pobre,3.72,496,405,4,11,.022177419,8,.019753087,10,.02016129,7,.01728395,1,1,1,1,1,1,42,42,42,.084677421,.58333331,.56,28,28,28,.0691358,.56,.47457626,0,1,10,10,10,.02016129,.1388889,.13333334,3,3,3,.0074074073,.059999999,.050847456,0,0,2,2,2,.0040322579,.027777778,.026666667,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,,1,2,1,1,1,1,1,1,1,2,2,1,5,6,8,12,15,15,0,40,0,0,15,120,220,30,185,60,0,80,0,0,0,0,20,0,50,25,1,0,3,0,0,0,0,2,0,0,234.87361,5.4590473,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,4,1,3,1,10,,,,,,,,,,,,,1,.74346,5,0,13,1,1,1,0,0,0,0,1,0
11,576,No Pobre,4.99,496,405,6,11,.022177419,8,.019753087,10,.02016129,7,.01728395,1,1,1,0,1,0,42,42,42,.084677421,.58333331,.56,28,28,28,.0691358,.56,.47457626,0,0,10,10,10,.02016129,.1388889,.13333334,3,3,3,.0074074073,.059999999,.050847456,0,0,2,2,2,.0040322579,.027777778,.026666667,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,,0,,2,1,2,2,1,2,1,1,1,1,8,8,8,8,15,15,0,0,0,0,10,32,40,0,100,0,0,200,0,0,300,150,60,60,1200,60,2,0,3,0,0,1,0,0,0,0,177.77516,5.1805196,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,4,1,3,1,10,,,,,,,,,,,,,1,.74346,5,0,13,1,1,1,0,1,1,0,1,0
6,608.17,Pobre,2.87,179,149,2,7,.039106146,6,.040268455,5,.027932961,4,.026845638,1,1,1,0,1,0,52,52,52,.29050279,2.3636363,2.2608695,42,42,42,.28187919,2.2105262,2.4705882,0,0,19,19,19,.10614525,.86363637,.82608694,14,14,14,.093959734,.7368421,.82352942,0,0,2,2,2,.011173184,.090909094,.086956523,1,1,1,.0067114094,.052631579,.05882353,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,,1,2,1,1,1,2,2,2,1,1,1,1,10,10,,13,,13,0,0,0,0,20,50,0,0,0,0,0,0,50,40,0,100,90,90,100,10,3,0,2,0,0,0,0,1,0,0,152.96252,5.0301929,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,0,0,0,1,1,0,9,2,99,1,10,,,.66666669,.66666669,1.5,,,,1,,.41666666,.41666666,,1.31476,5,0,13,1,1,0,0,0,0,0,1,0
5,756.5,No Pobre,3.15,179,149,3,7,.039106146,6,.040268455,5,.027932961,4,.026845638,1,1,1,0,1,0,52,52,52,.29050279,2.3636363,2.2608695,42,42,42,.28187919,2.2105262,2.4705882,0,0,19,19,19,.10614525,.86363637,.82608694,14,14,14,.093959734,.7368421,.82352942,0,0,2,2,2,.011173184,.090909094,.086956523,1,1,1,.0067114094,.052631579,.05882353,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,,1,2,1,1,2,2,2,2,1,1,1,1,15,15,13,14,15,14,0,10,5,0,8,20,0,0,30,0,0,68,0,0,50,340,18,0,50,44,3,1,0,2,0,0,0,0,0,0,322.44025,5.775918,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,0,0,0,1,1,0,9,2,99,1,10,,,.66666669,.66666669,1.5,,,,1,,.41666666,.41666666,,1.31476,5,0,14,1,1,0,0,0,0,0,1,0
6,739.5,Pobre,3.02,179,149,3,7,.039106146,6,.040268455,5,.027932961,4,.026845638,1,1,1,1,1,1,52,52,52,.29050279,2.3636363,2.2608695,42,42,42,.28187919,2.2105262,2.4705882,0,0,19,19,19,.10614525,.86363637,.82608694,14,14,14,.093959734,.7368421,.82352942,0,0,2,2,2,.011173184,.090909094,.086956523,1,1,1,.0067114094,.052631579,.05882353,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,,1,2,3,1,2,2,2,2,1,1,1,1,10,18,18,12,18,20,30,20,0,50,26,20,0,0,0,0,60,30,0,0,50,68,50,0,45,15,0,0,0,3,0,0,0,0,0,1,915.36316,6.8193207,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,0,0,0,1,1,0,9,2,99,1,10,,,.66666669,.66666669,1.5,,,,1,,.41666666,.41666666,,1.31476,5,1,12,1,1,0,1,1,1,0,0,0
