hhsize97,yycali,pobre,mpcalif,numunder15,fatherathome,motherathome,fatherlit,motherlit,fatherschool,motherschool,fatherminprim,motherminprim,fatherminsec,motherminsec,verypoor,poor,notrich,goodatschool,cansec,canfurther,canhigh,canuni,desgirlsec,desgirlfurther,desgirlhigh,desgirluni,desboysec,desboyfurther,desboyhigh,desboyuni,breakfast,whynobreakfast,talkwithteacher,whytalkwithteacher,guardian,schoolwork,problemdiscipline,problemteachers,problemcommunication,problemteachattendance,teacherprepared,teacherfulfilled,teacherpunctual,teacherpatient,helpsibgirl,helpsibboy,helpworkgirl,helpworkboy,earnmongirl,earnmonboy,weekexp1,weekexp2,weekexp3,weekexp4,weekexp5,monthexp1,monthexp2,monthexp3,sixmonthexp1,sixmonthexp2,sixmonthexp3,sixmonthexp4,sixmonthexp5,sixmonthexp6,sixmonthexp7,sixmonthexp8,sixmonthexp9,sixmonthexp10,sixmonthexp11,sixmonthexp12,spendmoreon1,spendmoreon2,spendmoreon3,spendmoreon4,spendmoreon5,spendmoreon6,spendmoreon7,spendmoreon11,spendmoreon12,spendmoreon14,delegate,subdelegate,commissioner,commissary,devcommittee,healthcommittee,educommittee,agricommittee,DICONSA,prodcoop,church,politorga,parentassoc,commassembly,NGO,commwork,watersource,trash,allelectric,partselectric,partsewers,phone,numberpreschools,numberprimschools,numbertelesecondaria,primeactivity,secondactivity,thirdactivity,childlabor,avchildwage,ttprivsec,ttpubsec,tttelesec,ttclosestsec,ttCONALEP,ttCETA,ttCETIS,ttCEBTA,ttCEBTIS,ttprivhigh,ttpubhigh,ttclosesthigh,indloc,indice,grado,female,age97,attend97,attend98,treatment,middleschool00,somemiddleschool00,missingmiddle00,highschool,highschool03,highschool03fin,missing00,missing03
7,583,Pobre,1.45,5,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,0,,2,1,1,8,1,2,1,1,1,1,8,8,8,8,18,18,40,60,50,0,30,999,0,0,30,300,300,300,300,300,300,300,300,300,1000,50,1,0,2,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,3,1,0,0,0,1,1,1,0,1,99,99,0,0,,.5,.5,.5,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,0,.34754,5,0,12,1,1,0,,,1,,,,1,1
9,517.5,Pobre,3.49,5,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,,1,2,1,1,1,2,2,2,1,1,1,1,8,9,9,10,15,15,0,18,0,0,15,250,50,0,500,450,180,200,450,750,100,550,300,430,800,160,1,2,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,99,99,1,25,,1.5,1,1,,,1.5,,,,,,,1.91251,5,0,13,1,1,1,0,1,0,0,,,0,1
5,754,No Pobre,1.09,3,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,,,,,1,,1,1,1,1,1,1,1,2,1,1,1,1,12,10,12,12,16,15,0,20,0,0,30,80,0,0,0,0,500,100,50,300,400,0,100,100,0,150,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,1,99,99,0,0,,,.25,.25,,,,.25,,,.25,.25,,-.05488,4,1,13,1,1,1,0,0,0,1,1,1,0,0
6,827,No Pobre,1.71,3,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,2,2,2,2,1,1,1,1,11,11,11,10,16,16,100,6,0,0,40,70,0,0,6,0,50,0,0,0,0,0,0,0,99,150,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,1,99,99,0,0,,,.25,.25,,,,.25,,,.25,.25,,-.05488,4,1,12,1,1,1,0,0,0,1,1,0,0,0
5,956,No Pobre,-.07,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,,1,1,1,1,2,2,2,2,1,1,1,1,10,11,11,11,10,11,0,0,0,0,0,50,0,0,0,0,250,0,0,0,100,150,110,0,140,20,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,1,99,99,0,0,,,.25,.25,,,,.25,,,.25,.25,,-.05488,4,0,12,1,1,1,0,0,0,0,,,0,1
9,756,No Pobre,3.55,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,,0,,2,2,2,2,1,1,2,2,2,2,12,11,10,9,16,14,0,0,0,0,15,90,0,0,100,0,100,200,0,0,70,90,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,1,99,99,0,0,,,.25,.25,,,,.25,,,.25,.25,,-.05488,4,0,13,0,1,1,1,1,0,0,0,0,0,0
5,695,No Pobre,1.5,3,1,1,1,1,1,1,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,2,2,1,8,1,2,2,1,1,1,8,7,7,7,7,15,15,0,14,15,0,20,40,999,0,50,0,90,200,200,200,350,200,200,100,50,50,1,0,2,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,3,1,0,0,0,1,1,1,0,1,99,99,0,0,,.5,.5,.5,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,0,.34754,5,0,13,0,0,0,,,1,,,,1,1
8,524,Pobre,2.93,5,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,,1,2,2,1,2,2,2,2,1,1,1,1,6,6,6,6,15,15,0,0,0,0,20,70,0,0,100,0,50,50,400,300,100,100,200,200,50,10,1,0,2,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,3,1,0,0,0,1,1,1,0,1,99,99,0,0,,.5,.5,.5,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,0,.34754,5,1,12,0,1,0,0,0,0,0,0,0,0,0
6,712,No Pobre,2.1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,,,,,1,1,1,1,1,1,1,1,1,,1,2,1,1,2,2,2,2,1,1,1,1,6,6,12,12,16,16,0,0,0,0,0,60,80,10,0,0,200,0,0,0,120,0,30,0,190,20,1,0,2,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,3,1,0,0,0,1,1,1,0,1,99,99,0,0,,.5,.5,.5,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,0,.34754,5,1,13,1,1,0,0,0,0,0,0,0,0,0
6,667,Pobre,2.1,2,1,1,1,1,1,1,0,0,0,0,0,1,1,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,10,12,12,17,17,0,14,0,0,25,90,800,100,100,0,300,200,150,200,200,190,150,200,0,0,1,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,3,1,0,0,0,1,1,1,0,1,99,99,0,0,,.5,.5,.5,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,0,.34754,5,1,14,0,0,0,0,0,0,0,,,0,1
